id,overview,runtime,tagline,title,vote_average,vote_count,genres,,
121,Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli. Legolas and Aragorn search for the orc-captured Merry and Pippin. All along. nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.,179,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8,7641,fantasy,,
272,Driven by tragedy. billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home. Gotham City.  Unable to work within the system. he instead creates a new identity. a symbol of fear for the criminal underworld - The Batman.,140,Evil fears the knight.,Batman Begins,7.5,7511,action,,
271110,Following the events of Age of Ultron. the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers. causing two factions to side with Iron Man or Captain America. which causes an epic battle between former allies.,147,Divided We Fall,Captain America: Civil War,7.1,7462,action,,
286217,During a manned mission to Mars. Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies. he must draw upon his ingenuity. wit and spirit to subsist and find a way to signal to Earth that he is alive.,141,Bring Him Home,The Martian,7.6,7442,drama,,
22,Jack Sparrow. a freewheeling 17th-century pirate who roams the Caribbean Sea. butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped. Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.,143,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191,fantasy,,
209112,Fearing the actions of a god-like Super Hero left unchecked. Gotham City_ own formidable. forceful vigilante takes on Metropolis_ most revered. modern-day savior. while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another. a new threat quickly arises. putting mankind in greater danger than it_ ever known before.,151,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7189,action,,
671,Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday. he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster. Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.,152,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7188,fantasy,,
1771,Predominantly set during World War II. Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull  Adolf Hitler's ruthless head of weaponry. and the leader of an organization that intends to use a mysterious device of untold powers for world domination.,124,When patriots become heroes,Captain America: The First Avenger,6.6,7174,action,,
14160,Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78. life seems to have passed him by. until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.,96,,Up,7.8,7048,animation,,
10138,With the world now aware of his dual life as the armored superhero Iron Man. billionaire inventor Tony Stark faces pressure from the government. the press and the public to share his technology with the military. Unwilling to let go of his invention. Stark. with Pepper Potts and James 'Rhodey' Rhodes at his side. must forge new alliances  and confront powerful enemies.,124,It's not the armor that makes the hero. but the man inside.,Iron Man 2,6.6,6969,action,,
99861,When Tony Stark tries to jumpstart a dormant peacekeeping program. things go awry and Earth_ Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges. it is up to The Avengers to stop him from enacting his terrible plans. and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.,141,A New Age Has Come.,Avengers: Age of Ultron,7.3,6908,action,,
11,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,121,A long time ago in a galaxy far. far away...,Star Wars,8.1,6778,sf,,
106646,A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street. corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.,180,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6768,drama,,
150540,Growing up can be a bumpy road. and it's no exception for Riley. who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us. Riley is guided by her emotions - Joy. Fear. Anger. Disgust and Sadness. The emotions live in Headquarters. the control center inside Riley's mind. where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco. turmoil ensues in Headquarters. Although Joy. Riley's main and most important emotion. tries to keep things positive. the emotions conflict on how best to navigate a new city. house and school.,94,Meet the little voices inside your head.,Inside Out,7.9,6737,animation,,
1930,Peter Parker is an outcast high schooler abandoned by his parents as a boy. leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers. Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father. he begins a quest to understand his parents' disappearance  leading him directly to Oscorp and the lab of Dr. Curt Connors. his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego. The Lizard. Peter will make life-altering choices to use his powers and shape his destiny to become a hero.,136,The untold story begins.,The Amazing Spider-Man,6.5,6734,action,,
10195,Against his father Odin's will. The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here. Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.,115,Two worlds. One hero.,Thor,6.6,6678,action,,
101299,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends. embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering. but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",146,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6656,action,,
16869,"In Nazi-occupied France during World War II. a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds. lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",153,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6598,drama,,
20352,Villainous Gru lives up to his reputation as a despicable. deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.,95,Superbad. Superdad.,Despicable Me,7.1,6595,animation,,
11324,World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane. but his efforts are compromised by his troubling visions and also by a mysterious doctor.,138,Someone is missing.,Shutter Island,7.8,6559,drama,,
281957,In the 1820s. a frontiersman. Hugh Glass. sets out on a path of vengeance against those who left him for dead after a bear mauling.,156,(n. One who has returned. as if from the dead.),The Revenant,7.3,6558,drama,,
49521,A young boy learns that he has extraordinary powers and is not of this earth. As a young man. he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.,143,You will believe that a man can fly.,Man of Steel,6.5,6462,action,,
10681,WALL-E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess. but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot. WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.,98,An adventure beyond the ordinar-E.,WALL-E,7.8,6439,animation,,
18785,When three friends finally come to after a raucous night of bachelor-party revelry. they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend. Doug  who's supposed to be tying the knot. Launching a frantic search for Doug. the trio perseveres through a nasty hangover to try to make it to the church on time.,100,Some guys just can't handle Vegas.,The Hangover,7.2,6324,comedy,,
263115,In the near future. a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives. pursued by dark forces.,137,His time has come,Logan,7.6,6310,action,,
12,Nemo. an adventurous young clownfish. is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks. surfer dude turtles. hypnotic jellyfish. hungry seagulls. and more along the way.,100,There are 3.7 trillion fish in the ocean. They're looking for one.,Finding Nemo,7.6,6292,animation,,
177572,The special bond that develops between plus-sized inflatable robot Baymax. and prodigy Hiro Hamada. who team up with a group of friends to form a band of high-tech heroes.,102,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6289,animation,,
105,Eighties teenager Marty McFly is accidentally sent back in time to 1955. inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.,116,He's the only kid ever to get into trouble before he was born.,Back to the Future,8,6239,sf,,
127585,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past  to save our future.,131,To save the future. they must alter the past,X-Men: Days of Future Past,7.5,6155,action,,
585,James Sullivan and Mike Wazowski are monsters. they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world. James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.,92,We Scare Because We Care.,Monsters. Inc.,7.5,6150,animation,,
12445,Harry. Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards. Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.,130,It all ends here.,Harry Potter and the Deathly Hallows: Part 2,7.9,6141,fantasy,,
207703,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,130,Manners maketh man.,Kingsman: The Secret Service,7.6,6069,action,,
240832,A woman. accidentally caught in a dark deal. turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.,89,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,Lucy,6.3,6048,action,,
673,Harry. Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again. this time in the form of escaped convict. Sirius Black  and turns to sympathetic Professor Lupin for help.,141,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,6037,fantasy,,
102899,Armed with the astonishing ability to shrink in scale but increase in strength. master thief Scott Lang must embrace his inner-hero and help his mentor. Doctor Hank Pym. protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles. Pym and Lang must plan and pull off a heist that will save the world.,117,Heroes don't get any bigger.,Ant-Man,7,6029,action,,
238,Spanning the years 1945 to 1955. a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch. Vito Corleone barely survives an attempt on his life. his youngest son. Michael steps in to take care of the would-be killers. launching a campaign of bloody revenge.,175,An offer you can't refuse.,The Godfather,8.5,6024,drama,,
210577,With his wife's disappearance having become the focus of an intense media circus. a man sees the spotlight turned on him when it's suspected that he may not be innocent.,145,You don't know what you've got 'til it's...,Gone Girl,7.9,6023,thriller,,
1891,The epic saga continues as Luke Skywalker. in hopes of defeating the evil Galactic Empire. learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile. rebel leader Princess Leia. cocky Han Solo. Chewbacca. and droids C-3PO and R2-D2 are thrown into various stages of capture. betrayal and despair.,124,The Adventure Continues...,The Empire Strikes Back,8.2,5998,action,,
672,Ignoring threats to his life. Harry returns to Hogwarts to investigate  aided by Ron and Hermione  a mysterious series of attacks.,161,Hogwarts is back in session.,Harry Potter and the Chamber of Secrets,7.4,5966,fantasy,,
807,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind. while his novice partner. Mills. scoffs at his efforts to unravel the case.",127,Seven deadly sins. Seven ways to die.,Se7en,8.1,5915,thriller,,
87827,The story of an Indian boy named Pi. a zookeeper's son who finds himself in the company of a hyena. zebra. orangutan. and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.,127,Believe The Unbelievable,Life of Pi,7.2,5912,drama,,
205596,Based on the real life story of legendary cryptanalyst Alan Turing. the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park. during the darkest days of World War II.,113,The true enigma was the man who cracked the code.,The Imitation Game,8,5895,drama,,
10528,Eccentric consulting detective. Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,128,Nothing escapes him.,Sherlock Holmes,7,5883,action,,
100402,After the cataclysmic events in New York with The Avengers. Steve Rogers. aka Captain America is living quietly in Washington. D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack. Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow. Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed. Captain America and the Black Widow enlist the help of a new ally. the Falcon. However. they soon find themselves up against an unexpected and formidable enemy_he Winter Soldier.,136,In heroes we trust.,Captain America: The Winter Soldier,7.6,5881,action,,
284052,After his career is destroyed. a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.,115,Open your mind. Change your reality.,Doctor Strange,7.1,5880,action,,
49047,Dr. Ryan Stone. a brilliant medical engineer on her first Shuttle mission. with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk. disaster strikes. The Shuttle is destroyed. leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic. every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.,91,Don't Let Go,Gravity,7.3,5879,sf,,
131631,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,123,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5767,sf,,
674,Harry starts his fourth year at Hogwarts. competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure  but Voldemort lurks. awaiting his chance to destroy Harry and all that he stands for.,157,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5758,fantasy,,
329865,Taking place after alien crafts land around the world. an expert linguist is recruited by the military to determine whether they come in peace or are a threat.,113,Why are they here?,Arrival,7.2,5729,thriller,,
12444,Harry. Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes. putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose. the world is more dangerous than ever.,146,One Way One Fate One Hero.,Harry Potter and the Deathly Hallows: Part 1,7.5,5708,fantasy,,
72190,Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly. the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos. Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.,116,Remember Philly!,World War Z,6.7,5683,action,,
75656,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,115,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,Now You See Me,7.3,5635,thriller,,
675,Returning for his fifth year of study at Hogwarts. Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice. Harry takes matters into his own hands. training a small group of students  dubbed 'Dumbledore's Army'  to defend themselves against the dark arts.,138,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5633,fantasy,,
259316,In 1926. Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase. which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase. it sends the American wizarding authorities after Newt. and threatens to strain even further the state of magical and non-magical relations.,133,From J.K. Rowling's wizarding world.,Fantastic Beasts and Where to Find Them,7.2,5612,fantasy,,
98,In the year 180. the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne. Maximus is set to be executed. He escapes. but is captured by slave traders. Renamed Spaniard and forced to become a gladiator. Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well. and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family. Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule. Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.,155,A Hero Will Rise.,Gladiator,7.9,5566,action,,
198663,"Set in a post-apocalyptic world. young Thomas is deposited in a community of boys after his memory is erased. soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",113,Run - Remember - Survive,The Maze Runner,7,5540,sf,,
321612,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,129,Be our guest.,Beauty and the Beast,6.8,5530,animation,,
8587,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,89,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,8,5520,animation,,
245891,Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect,101,Don't set him off.,John Wick,7,5499,action,,
109445,Young princess Anna of Arendelle dreams about finding true love at her sister Elsa_ coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff. his reindeer Sven. and snowman Olaf. On an adventure where she will find out what friendship. courage. family. and true love really means.,102,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5440,animation,,
767,As Harry begins his sixth year at Hogwarts. he discovers an old book marked as 'Property of the Half-Blood Prince'. and begins to learn more about Lord Voldemort's dark past.,153,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5435,fantasy,,
862,Led by Woody. Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart. Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner. the duo eventually learns to put aside their differences.,81,,Toy Story,7.7,5415,animation,,
77338,A true story of two men who should never have met  a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,112,Sometimes you have to reach into someone else's world to find out what's missing in your own.,The Intouchables,8.2,5410,comedy,,
557,After being bitten by a genetically altered spider. nerdy high school student Peter Parker is endowed with amazing powers.,121,With great power comes great responsibility.,Spider-Man,6.8,5398,action,,
58,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones. he also attempts to avoid eternal damnation.,151,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5380,fantasy,,
9806,Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment. it's time to get back into costume.,115,No gut. no glory,The Incredibles,7.4,5290,animation,,
82992,Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend. Letty.,130,All roads lead to this,Fast & Furious 6,6.7,5282,thriller,,
49538,Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto. they were two young men discovering their powers for the first time. Before they were arch-enemies. they were closest of friends. working together with other mutants (some familiar. some new). to stop the greatest threat the world has ever known.,132,Witness the moment that will change our world.,X-Men: First Class,7.1,5252,action,,
70981,A team of explorers discover a clue to the origins of mankind on Earth. leading them on a journey to the darkest corners of the universe. There. they must fight a terrifying battle to save the future of the human race.,124,The Search for Our Beginning Could Lead to Our End.,Prometheus,6.3,5152,sf,,
857,As U.S. troops storm the beaches of Normandy. three brothers lie dead on the battlefield. with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.,169,The mission is a man.,Saving Private Ryan,7.9,5148,drama,,
330459,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,133,A Rebellion Built on Hope,Rogue One: A Star Wars Story,7.4,5111,sf,,
